run_ID,segment_name,starttime,endtime,text,,,
1,filler_recall,0:15,0:34,"sure so I think that was probably about 12 clips total obviously each tv show was followed by a commercial the, most of the tv shows probably about half were about the gas station",,,
1,the-riches_general,0:35,0:42,there was a couple of clips from the like irish family uh,,,
1,filler_recall,0:43,1:04,there was probably a couple more tv shows and then the commercials I don't think any of them were repeated there was um i think they were probably most of the commercials we probably weren't even bothered to be introduced to so,,,
1,martin-fine-furniture_resized_1280-720,1:05,1:10,in no particular order there was the martian furniture one that was the last one,,,
1,local-commercial-fail_resized_1280-720,1:12,1:19,there was the before that I think there was like the eagle laying an egg car insurance one there was,,,
1,crazy-gideon_resized_1280-720,1:38,1:41,there was the crazy gideon's was like pretty early on,,,
1,go-wireless_resized_1280-720,1:46,2:03,there was the wireless tv one pretty sure that one came after one of the tv clips of a dog river it was like the only one that I thought was actually geographically related both being from canada,,,
1,jp-audio-mart_resized_1280-720,2:17,2:23,we had the commercial which was like the J and P's automart or whatever with the woman sitting on the car in an orange t shirt,,,
1,lens-rap_resized_1280-720,2:25,2:33,and in terms of commercials oh we also had the um uh two lady shopping cart mall one ,,,
1,cecil-myers_resized_1280-720,2:34,2:40,commercials I don't think I saw include cecil's automart ,from this moment on participant knowingly recalls clips that were not part of the run,,
1,china-star-delicious_resized_1280-720,2:47,2:54,we didn't see the like sledgehammer giant crab leg commercial ,,,
1,big-al-pizza_resized_1280-720,2:58,3:03,we didn't see the two guys ordering takeout but got delivered by a bird,,,
1,popular_general/the-tribe_general,3:26,3:33,in terms of tv shows that we didn't see we didn't see the tribe new zealand kids one we didn't see the popular show ,,,
1,filmore_general,3:38,3:40,we didn't see filmore cartoon,,,
1,filler_recall,4:42,4:51,I can't really hear you but I think you said whenever I'm done just tell you that I'm done I think I'm done,,,